gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC005917,10253,7424,3240,2502
RPRC006004,12,17,1,2
RPRC005982,375,175,405,293
RPRC005985,290,125,277,217
RPRC005916,330,223,231,153
RPRC005915,431,352,351,243
RPRC005914,891,577,402,253
RPRC005987,547,381,245,164
RPRC005988,891,535,465,335
RPRC005908,1617,1278,907,673
RPRC005999,3470,2425,1502,931
RPRC005990,1397,1998,4171,3022
RPRC010169,0,0,0,0
RPRC006180,0,0,0,0
RPRC004790,2,2,1,0
RPRC006224,3,1,1,0
RPRC002788,1581,1341,1029,731
RPRC002789,13,15,4,5
RPRC002790,1126,667,459,290
RPRC003102,91,71,15,21
RPRC003100,0,0,0,0
RPRC000282,0,1,0,0
RPRC003110,0,0,0,0
RPRC003109,1,0,0,1
RPRC003108,0,0,0,0
RPRC000880,8,0,1,0
RPRC006449,10,5,0,0
RPRC000052,0,0,0,0
RPRC011145,6,6,0,0
RPRC011153,0,0,0,0
RPRC011152,0,3,0,0
RPRC011144,4,1,0,1
RPRC001981,5,3,2,2
RPRC011143,17,5,1,1
RPRC011151,0,5,0,0
RPRC011146,13,24,0,4
RPRC011150,1,2,0,0
RPRC001982,389,446,216,138
RPRC011141,1,0,0,0
RPRC011138,3398,2044,13,22
RPRC011134,1203,786,535,414
RPRC011147,1759,1344,560,390
RPRC002089,0,4,0,0
RPRC011148,3,2,0,0
RPRC011132,5829,4047,1253,998
RPRC001983,24,5,37,15
RPRC006483,0,2,0,0
RPRC000559,0,0,0,0
RPRC006486,0,0,0,0
RPRC006487,0,0,0,0
RPRC006527,0,0,0,0
RPRC006525,5,3,0,0
RPRC006522,4,7,0,0
RPRC006521,18,21,1,0
RPRC006520,0,5,0,0
RPRC006519,18,9,11,8
RPRC006488,692,440,576,359
RPRC006504,465,319,169,122
RPRC006513,2040,1507,2092,1376
RPRC006506,6,4,3,1
RPRC003077,63,26,12,12
RPRC002307,3,2,1,6
RPRC000248,207,139,124,99
RPRC015267,473,380,249,174
RPRC015287,771,497,248,166
RPRC015286,444,345,241,129
RPRC001659,6751,4568,2670,1663
RPRC000062,373,229,170,108
RPRC015266,227,149,77,61
RPRC015265,4121,2991,1397,958
RPRC015268,695,441,824,462
RPRC015285,154,151,0,3
RPRC001660,769,575,202,155
RPRC001661,5982,4498,2172,1487
RPRC015264,4517,3425,1335,952
RPRC015263,700,677,162,133
RPRC015261,2706,1939,1545,1066
RPRC015262,6,3,0,0
RPRC015269,11420,8758,1255,1194
RPRC015260,349,228,171,132
RPRC015259,1120,789,470,362
RPRC015270,2762,1881,1358,842
RPRC015258,309,292,62,40
RPRC015284,619,461,474,362
RPRC015257,4249,2711,2646,2253
RPRC015283,4,3,1,9
RPRC015256,0,1,0,1
RPRC015280,4930,3044,1590,1330
RPRC015282,1870,1334,358,313
RPRC015281,541,343,386,252
RPRC017299,0,1,0,0
RPRC017280,0,2,0,0
RPRC002633,504,359,47,47
RPRC002642,1109,696,1283,870
RPRC001662,2342,1705,1881,1170
RPRC002626,900,739,920,605
RPRC002634,369,200,172,101
RPRC002625,2842,2278,396,344
RPRC002635,26,19,3,5
RPRC002624,20156,11737,2835,2852
RPRC002636,765,657,63,59
RPRC016292,0,0,0,1
RPRC012601,2,0,0,0
RPRC012628,29,14,36,25
RPRC012599,2694,1606,2632,1822
RPRC012626,703,436,510,476
RPRC012608,251,193,207,145
RPRC012607,2209,1462,669,419
RPRC012603,0,0,0,0
RPRC008940,0,0,0,0
RPRC008937,0,0,0,0
RPRC008929,117,64,220,123
RPRC010777,0,0,0,0
RPRC011889,678,473,475,298
RPRC000769,1038,635,944,622
RPRC002919,74,70,34,24
RPRC015471,645,484,178,148
RPRC015467,2906,1873,1550,1207
RPRC015466,1293,985,600,385
RPRC015468,3,1,4,4
RPRC015470,461,346,231,136
