gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC011306,71,47,3,1,3.53,3.40,0.38,0.17
RPRC000141,3,2,0,0,0.15,0.14,0.00,0.00
RPRC011114,1938,1233,1046,777,96.40,89.27,130.88,132.17
RPRC011175,1,2,0,0,0.05,0.14,0.00,0.00
RPRC000963,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011173,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014998,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017149,11,6,1,1,0.55,0.43,0.13,0.17
RPRC005615,144,88,71,34,7.16,6.37,8.88,5.78
RPRC001103,1082,739,649,352,53.82,53.51,81.20,59.88
RPRC001104,237,165,186,81,11.79,11.95,23.27,13.78
RPRC005508,1484,1082,909,606,73.82,78.34,113.74,103.08
RPRC005509,2701,1884,743,584,134.35,136.41,92.97,99.34
RPRC005514,3005,2203,1259,778,149.47,159.50,157.53,132.34
RPRC000333,1906,1110,1700,1128,94.81,80.37,212.71,191.88
RPRC005532,442,330,216,216,21.99,23.89,27.03,36.74
RPRC005507,1288,952,966,803,64.07,68.93,120.87,136.59
RPRC005614,332,158,356,273,16.51,11.44,44.54,46.44
RPRC005602,4845,2766,4001,2389,240.99,200.27,500.62,406.38
RPRC005579,1157,819,593,390,57.55,59.30,74.20,66.34
RPRC005506,463,330,147,109,23.03,23.89,18.39,18.54
RPRC005578,506,399,246,199,25.17,28.89,30.78,33.85
RPRC005534,2036,1560,869,664,101.27,112.95,108.73,112.95
RPRC005548,1550,1194,315,242,77.10,86.45,39.41,41.17
RPRC005491,382,283,316,200,19.00,20.49,39.54,34.02
RPRC005490,872,765,233,255,43.37,55.39,29.15,43.38
RPRC002282,375,245,322,217,18.65,17.74,40.29,36.91
RPRC005353,1,2,0,0,0.05,0.14,0.00,0.00
RPRC014655,1622,124,15,1,80.68,8.98,1.88,0.17
RPRC008211,4030,2851,1243,935,200.45,206.42,155.53,159.05
RPRC008212,539,468,228,175,26.81,33.88,28.53,29.77
RPRC000101,7664,5609,1462,1073,381.21,406.11,182.93,182.52
RPRC008237,1151,757,675,401,57.25,54.81,84.46,68.21
RPRC008243,61,55,41,33,3.03,3.98,5.13,5.61
RPRC008236,585,392,237,184,29.10,28.38,29.65,31.30
RPRC000924,50,41,13,11,2.49,2.97,1.63,1.87
RPRC000925,1175,874,922,620,58.45,63.28,115.36,105.47
RPRC008209,772,368,264,132,38.40,26.64,33.03,22.45
RPRC005771,71,65,62,40,3.53,4.71,7.76,6.80
RPRC011180,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011179,362,239,185,123,18.01,17.30,23.15,20.92
RPRC010493,237,168,125,82,11.79,12.16,15.64,13.95
RPRC010496,153,99,65,27,7.61,7.17,8.13,4.59
RPRC000275,1,0,0,0,0.05,0.00,0.00,0.00
RPRC012954,0,1,0,0,0.00,0.07,0.00,0.00
RPRC012953,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004417,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009216,4,5,3,2,0.20,0.36,0.38,0.34
RPRC000661,6,16,0,0,0.30,1.16,0.00,0.00
RPRC017447,1,1,0,0,0.05,0.07,0.00,0.00
RPRC000723,2,9,0,0,0.10,0.65,0.00,0.00
RPRC002286,15,31,0,0,0.75,2.24,0.00,0.00
